filename,HCI#,mouse num,Tumor,sample info,date,slide #,path
slide-2021-08-19T12-49-12-R4-S12,21,26138,,Ki67,8/3/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T12-49-12-R4-S12.mrxs
slide-2021-08-19T13-04-15-R5-S1,20,25690,,Ki67,8/3/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T13-04-15-R5-S1.mrxs
slide-2021-08-19T13-17-12-R5-S2,20,23823,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T13-17-12-R5-S2.mrxs
slide-2021-08-19T13-32-59-R5-S3,20,23792,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T13-32-59-R5-S3.mrxs
slide-2021-09-16T19-22-36-R2-S6,20,23786,BR,Ki67,9/8/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-09-16T19-22-36-R2-S6.mrxs
slide-2021-09-16T19-34-27-R2-S7,20,23866,BR,Ki67,9/8/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-09-16T19-34-27-R2-S7.mrxs
slide-2021-09-16T19-42-31-R2-S8,20,25694,,Ki67,9/8/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-09-16T19-42-31-R2-S8.mrxs
slide-2021-09-16T19-52-14-R2-S9,20,25741,,Ki67,9/8/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-09-16T19-52-14-R2-S9.mrxs
slide-2021-09-16T20-01-58-R2-S10,20,26066,BR,Ki67,8/3/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-09-16T20-01-58-R2-S10.mrxs
slide-2021-09-16T20-13-54-R2-S11,20,26137,BR,Ki67,8/3/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-09-16T20-13-54-R2-S11.mrxs
slide-2021-09-16T20-21-50-R2-S12,20,23291,BR,PERK,9/9/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-16T20-21-50-R2-S12.mrxs
slide-2021-09-17T14-24-45-R3-S2,20,23527,BR,PERK,9/9/21,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T14-24-45-R3-S2.mrxs
slide-2021-09-17T14-38-17-R3-S3,20,23785,BR,PERK,Rb 8/,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T14-38-17-R3-S3.mrxs
slide-2021-09-17T14-50-25-R3-S4,20,23786,BR,PERK,,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T14-50-25-R3-S4.mrxs
slide-2021-09-17T15-13-41-R3-S6,20,23823,BR,PERK,8/6/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T15-13-41-R3-S6.mrxs
slide-2021-09-17T15-25-09-R3-S7,20,23866,BR,PERK,9/9/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T15-25-09-R3-S7.mrxs
slide-2021-09-17T15-33-10-R3-S8,20,23966,BR,PERK,9/9/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T15-33-10-R3-S8.mrxs
slide-2021-09-17T15-43-10-R3-S9,20,25025,BR,PERK,9/9/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T15-43-10-R3-S9.mrxs
slide-2021-09-17T15-58-44-R3-S10,20,25690,,Rb PERK,8/6/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T15-58-44-R3-S10.mrxs
slide-2021-09-17T16-11-10-R3-S11,20,25694,,PERK,9/9/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T16-11-10-R3-S11.mrxs
slide-2021-09-17T16-21-01-R3-S12,20,25741,,PERK,9/9/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T16-21-01-R3-S12.mrxs
slide-2021-09-17T16-52-06-R4-S1,20,25767,BR,PERK,9/9/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T16-52-06-R4-S1.mrxs
slide-2021-09-17T17-03-35-R4-S2,20,26012,BR,PERK,,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T17-03-35-R4-S2.mrxs
slide-2021-09-17T17-22-16-R4-S4,21,26138,,Rb PERK,8/6/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T17-22-16-R4-S4.mrxs
slide-2021-09-17T17-34-15-R4-S5,21,26143,,Rb PERK,8/21/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-17T17-34-15-R4-S5.mrxs
slide-2021-09-29T10-46-12-R2-S3,20,26137,BR,PERK,8/6/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-29T10-46-12-R2-S3.mrxs
slide-2021-09-29T10-57-16-R2-S4,20,23792,BR,Rb PERK,,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-29T10-57-16-R2-S4.mrxs
slide-2021-09-29T11-28-51-R2-S6,20,23294,BR,PERK,9/9/21,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-29T11-28-51-R2-S6.mrxs
slide-2021-10-06T13-30-13-R1-S1,20,26066,BR,PERK,10/4/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-10-06T13-30-13-R1-S1.mrxs
slide-2021-10-12T08-41-45-R2-S1,20,23785,BR,Rb PERK,,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-10-12T08-41-45-R2-S1.mrxs
slide-2021-09-24T12-56-50-R1-S4,20,23786,BR,Pten,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/Bad Pten IHC/slide-2021-09-24T12-56-50-R1-S4.mrxs
slide-2021-09-24T13-09-35-R1-S5,20,23785,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/Bad Pten IHC/slide-2021-09-24T13-09-35-R1-S5.mrxs
slide-2021-09-24T15-22-03-R2-S4,20,23823,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/Bad Pten IHC/slide-2021-09-24T15-22-03-R2-S4.mrxs
slide-2021-09-24T15-57-03-R2-S7,20,26012,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/Bad Pten IHC/slide-2021-09-24T15-57-03-R2-S7.mrxs
slide-2021-09-24T12-22-12-R1-S1,20,23294,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T12-22-12-R1-S1.mrxs
slide-2021-09-24T12-32-45-R1-S2,20,23527,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T12-32-45-R1-S2.mrxs
slide-2021-09-24T12-46-24-R1-S3,20,23291,BR,PTEN,9/21/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T12-46-24-R1-S3.mrxs
slide-2021-09-24T13-21-57-R1-S6,20,23966,BR,PTEN,9/21/21,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T13-21-57-R1-S6.mrxs
slide-2021-09-24T13-32-09-R1-S7,20,25741,,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T13-32-09-R1-S7.mrxs
slide-2021-09-24T13-41-12-R1-S8,20,25694,,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T13-41-12-R1-S8.mrxs
slide-2021-09-24T13-50-35-R1-S9,20,25767,BR,PTEN,9/21/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T13-50-35-R1-S9.mrxs
slide-2021-09-24T14-01-51-R1-S10,20,26066,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T14-01-51-R1-S10.mrxs
slide-2021-09-24T14-12-41-R1-S11,21,26138,,PTEN,9/21/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T14-12-41-R1-S11.mrxs
slide-2021-09-24T14-24-50-R1-S12,20,25025,BR,PTEN,9/21/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T14-24-50-R1-S12.mrxs
slide-2021-09-24T14-51-34-R2-S1,20,23792,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T14-51-34-R2-S1.mrxs
slide-2021-09-24T15-02-57-R2-S2,20,26137,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T15-02-57-R2-S2.mrxs
slide-2021-09-24T15-11-43-R2-S3,20,23866,BR,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T15-11-43-R2-S3.mrxs
slide-2021-09-24T15-32-30-R2-S5,20,25690,,PTEN,9/21/21,4,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T15-32-30-R2-S5.mrxs
slide-2021-09-24T15-46-19-R2-S6,21,26143,,PTEN,9/21/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T15-46-19-R2-S6.mrxs
slide-2021-09-24T16-07-59-R2-S8,20,23821,BR,PTEN +ctrl,9/21/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T16-07-59-R2-S8.mrxs
slide-2021-09-24T16-17-37-R2-S9,20,23821,BR,PTEN -ctrl no primary ab,9/21/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T16-17-37-R2-S9.mrxs
slide-2021-11-09T11-52-19-R1-S1,20,23785,BR,PTEN,11/1/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-11-09T11-52-19-R1-S1.mrxs
slide-2021-11-09T12-04-50-R1-S2,20,23786,BR,PTEN,11/1/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-11-09T12-04-50-R1-S2.mrxs
slide-2021-11-09T12-20-16-R1-S3,20,26012,BR,PTEN,11/1/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-11-09T12-20-16-R1-S3.mrxs
slide-2021-11-09T12-31-07-R1-S4,20,23823,BR,PTEN,11/1/21,5,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-11-09T12-31-07-R1-S4.mrxs
slide-2021-09-03T14-36-41-R4-S10,21,26870,L,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Lung H&E/slide-2021-09-03T14-36-41-R4-S10.mrxs
slide-2021-09-03T13-49-10-R4-S1,21,26870,T2,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-09-03T13-49-10-R4-S1.mrxs
slide-2021-09-03T14-06-09-R4-S2,21,26870,T1,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-09-03T14-06-09-R4-S2.mrxs
slide-2021-09-03T14-18-12-R4-S3,21,26870,T3,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-09-03T14-18-12-R4-S3.mrxs
slide-2021-09-03T14-28-00-R4-S4,21,26865,T,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-09-03T14-28-00-R4-S4.mrxs
slide-2021-11-18T11-39-20-R2-S1,,26827,T1,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-11-18T11-39-20-R2-S1.mrxs
slide-2021-11-18T11-42-57-R2-S2,,26867,T1,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-11-18T11-42-57-R2-S2.mrxs
slide-2021-11-18T11-51-47-R2-S3,,27415,T,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-11-18T11-51-47-R2-S3.mrxs
slide-2021-11-18T12-04-44-R2-S4,,27416,T1,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-11-18T12-04-44-R2-S4.mrxs
slide-2021-11-18T12-16-47-R2-S5,,27648,T1,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma H&E/slide-2021-11-18T12-16-47-R2-S5.mrxs
slide-2021-09-07T15-25-46-R1-S3,21,26870,T1,Ki67,9/2/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma Ki67/slide-2021-09-07T15-25-46-R1-S3.mrxs
slide-2021-09-07T15-36-23-R1-S4,21,26870,T2,Ki67,9/2/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma Ki67/slide-2021-09-07T15-36-23-R1-S4.mrxs
slide-2021-09-07T14-58-56-R1-S1,21,26870,T2,Rb Perk,9/2/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma pERK/slide-2021-09-07T14-58-56-R1-S1.mrxs
slide-2021-09-07T15-15-42-R1-S2,21,26870,T1,Tb Perk,9/2/21,2,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH032/Melanoma pERK/slide-2021-09-07T15-15-42-R1-S2.mrxs
slide-2022-04-22T08-20-32-R1-S1,,28204,B,Perk,,5,E:/CaseViewer Files/Riley Elmer CaseViewer Files/slide-2022-04-22T08-20-32-R1-S1.mrxs
slide-2022-04-22T08-43-18-R1-S2,,28204,B,Ki67,,3,E:/CaseViewer Files/Riley Elmer CaseViewer Files/slide-2022-04-22T08-43-18-R1-S2.mrxs
slide-2022-04-22T09-24-35-R1-S4,,28205,B,Ki67,,3,E:/CaseViewer Files/Riley Elmer CaseViewer Files/slide-2022-04-22T09-24-35-R1-S4.mrxs
slide-2022-04-22T09-40-29-R1-S5,,28207,T1,Perk,,5,E:/CaseViewer Files/Riley Elmer CaseViewer Files/slide-2022-04-22T09-40-29-R1-S5.mrxs
slide-2022-07-29T11-21-03-R1-S1-20220729-112343186,,28780,B,Perk TE,7/27,3,E:/Slides/Tori_7-29-22/_FailedSlides/slide-2022-07-29T11-21-03-R1-S1-20220729-112343186.mrxs
slide-2022-07-29T12-28-28-R2-S1,,28780,B,Perk TE,7/27,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T12-28-28-R2-S1.mrxs
slide-2022-07-29T12-47-02-R2-S2,,29390,B,Perk TE,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T12-47-02-R2-S2.mrxs
slide-2022-07-29T13-07-01-R1-S3,,29163,B,Perk TE,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-07-01-R1-S3.mrxs
slide-2022-07-29T13-20-23-R1-S4,,29389,ON,Perk TE,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-20-23-R1-S4.mrxs
slide-2022-07-29T13-21-32-R1-S5,,29390,ON,Perk TE,7/27/22,2,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-21-32-R1-S5.mrxs
slide-2022-07-29T13-22-47-R1-S6,,28709,B,Perk TE,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-22-47-R1-S6.mrxs
slide-2022-07-29T13-34-36-R1-S7,,29163,ON,Perk TE,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-34-36-R1-S7.mrxs
slide-2022-07-29T13-43-01-R1-S8,,29164,B,Perk TE,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-43-01-R1-S8.mrxs
slide-2022-07-29T13-53-35-R1-S9,,28708,B,Perk TE,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-53-35-R1-S9.mrxs
slide-2022-07-29T14-06-46-R1-S10,,28782,B,Perk TE,7/27/22,2,E:/Slides/Tori_7-29-22/slide-2022-07-29T14-06-46-R1-S10.mrxs
slide-2022-07-29T14-18-54-R1-S11,,29389,B,Perk Te,7/27/22,3,E:/Slides/Tori_7-29-22/slide-2022-07-29T14-18-54-R1-S11.mrxs
