,,,,,,,,,,,,,Evidence of Tumor,,,Harvested,,,,,,,,,,,,,,,,For Survival Curves (highlighted grey if it should be excluded),,,"Tumor Classifications (1=yes, 0=no)",,,,,,,,,,Behavioral Conditions,,,Other Conditions,,,
exclude,Mouse ID (greyed out if it will be excluded from results),Shorthand Strain Name,Strain,Tyr-Cre status confirmed,Injected With,Injected By (highlighted green for variable I'm testing for),Number of Cells injected,Volume Injected (highlighted green for variable I'm testing for),Gender,TVA Status,Birth Date,Injection Date,Domed Head or Observable Tumor Date,Behavior Date,death_date,Brain_harvested,Other Organs_harvested,Behavior and Necropsy Notes,Fixed Tissue Still In Ethanol,highlighted blue,Brain Submission Date for Embedding and H&E (highlighted blue if block is useful as a control or otherwise includes a large tumor),Tumor or Other Tissue Submitted for Embedding and H&E either with the brain or separate,Brain H&E and IHC Notes,Sheri Has Seen H&E,Any hard proof of any kind of abnormal mass or enlargement after necropsy or brain H&E?,Full Slide Scan of H&E on External HD,Ki67 Result,Full Slide Scan of Ki67 on External HD,pERK Result (only listed if it was done),Full Slide Scan of pERK on External HD,Unstained Slides Available,Death Age or Current Age for Survival Curve,"Overall Survival: 1 if there was any evidence of tumor (visible, before necropsy or after IHC, behavior change or unexplained death), 0 if not","Tumor Free Survival: 1 only if there was any abnormal mass or enlargement visible upon necropsy or H&E, 0 if mouse survived to 150 days and had no tumor, exclude if death was early and no hard proof of tumor","Glioma Free Survival: 1 if a glioma (inside brain or infiltrating the brain, verified by Ki67), 0 if no observable glioma is present, exclude if H&E wasn't done or mouse was sacked before 150 days for whatever reason","Cranial Nerve Tumor? (Anything in the cranial cavity, but not necessarily infiltrating or inside the brain, most likely located under the brain)",Intracranial (glioma or outside of brain and still in skull) (Combo of previous 2),Head Tumor (outside of and connected to skull),"Lymph Node Tumor (wasn't always looking for, but noticed when they were big)",Lower Spinal Cord Tumor (unfortunatly didn't start looking for this until later),Eye Tumor (where it was clear it was the optical nerve and or involving the eye),"Auditory nerve? (Not connected to skull like head tumors, but on head and connected to skin sort of)",Cutaneous (skin somewhere on body),Rib Cage?,Lethargic/difficulty breathing/looked sick,Puffy/Full of Gas,Paralysis (from starting to drag hind legs to full on immobility),Hydrocephalus,Non tumor related reason for death,Nothing Abnormal,Found Dead
,23524-00 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/22/2020,4/23/2020,,7/8/2020,7/16/2020,yes,spinal cord and eye,Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.,spinal cord and eye,,7/23/2020,no,"originally thought there might be a leptomeningeal tumor, but not able to verify by second H&E, Ki67 or pERK",yes,yes,yes,negative,,negative,,2,85,1,1,0,,,,,,1,,,,,,,,,,
,23525-01 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/22/2020,4/23/2020,,8/20/2020,9/17/2020,yes,head tumor,"Tumor present on side of body weird fatty skin growth. Tumor was used for cell line, frozen, and fixed. Brain looked normal",,,10/28/2020,skin tumor,no glioma observable,yes,yes,,,,,,,148,1,1,0,,,,,,,,1,,,,,,,,
,23526-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/22/2020,4/23/2020,6/4/2020,,7/6/2020,yes,no,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal",,,7/23/2020,no,"originally thought there might be a glioma, but nothing seen in second H&E or Ki67",yes,yes,yes,negative,,negative,,2,75,1,1,0,,,1,,,,,,,,,1,,,,
,23527-01 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,Tg/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/22/2020,4/23/2020,6/4/2020,7/21/2020,7/27/2020,yes,no,Complete paralysis. Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve,,1,8/3/2020,no,"low grade glioma in center section towards the side, Ki67 and pERK are not that distinct, but they are positive, PTEN looks less positive in tumor except for positive staining vasculature",yes,yes,yes,positive,yes,positive,yes,1,96,1,1,1,1,1,,,,,,,,,,1,,,,
,23528-03 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/22/2020,4/23/2020,8/4/2020,6/25/2020,8/11/2020,yes,no,"sickly, difficulty breathing, slight domed head, tumor on skull",,,8/14/2020,no,no glioma observable,yes,yes,,,,,,,111,1,1,0,,,1,,,,,,,1,,,,,,
,23783-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/23/2020,5/24/2020,,8/7/2020,8/9/2020,yes,no,"Partial paralysis noticed, but animal was found dead over weekend, brain looked normal",,,8/14/2020,no,no glioma observable,yes,no,,,,,,,78,1,0,0,,,,,,,,,,,,1,,,,1
,23784-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/23/2020,5/24/2020,,8/14/2020,8/17/2020,yes,no,"weakness in back legs, then paralysis, brain looked normal no evidence of tumor on spine either",,,10/28/2020,no,no glioma observable,yes,no,,,,,,,86,1,0,0,,,,,,,,,,,,1,,,,
,23785-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/23/2020,5/24/2020,,8/7/2020,8/13/2020,yes,no,"Difficulty breathing, medium sized cranial nerve tumor (necrotic)",,,8/14/2020,no,"large glioma at base of brain on front and center sections, Ki67 is positive throughout the tumor except for some center areas, pERK is fairly dispursed throughout tumor, PTEN has some odd artifacts, but not that different than the rest of the brain except it does look lower than the brain for the front section",yes,yes,yes,positive,yes,positive,yes,0,82,1,1,1,1,1,,,,,,,,1,,,,,,
,23786-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/23/2020,5/24/2020,7/20/2020,,7/27/2020,yes,no,"Completely paralyzed. Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well",,,8/3/2020,no,"large high grade glioma at the base of brain in the center and back sections, palisading necrosis and abnormal vasculature, Ki67 is high throughout except for a distinct shape at the center of the tumor (lymphocytes?) and the necrotic areas, pERK is more expressed towards the bottom edges and absent in that lymphocyte region, PTEN is clearly low in tumor except for vasculature and the lymphocyte region",yes,yes,yes,positive,yes,positive,yes,0,65,1,1,1,1,1,,,,,,,,,,1,,,,
,23787-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/23/2020,5/24/2020,,7/30/2020,8/4/2020,yes,no,"Completely paralyzed, Small necrotic tumor underneath brain surrounding left cranial nerves",,,8/10/2020,no,"tumor tissue was thought to be on the side, but not seen in the second H&E and no Ki67 observed",yes,yes,yes,negative,,negative,,2,73,1,1,0,1,1,,,,,,,,,,1,,,,
,23788-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/23/2020,5/24/2020,,,6/21/2020,no,no,found dead and unable to necropsy,,,,,,,,,,,,,,29,0,0,0,,,,,,,,,,,,,,,,1
,23789-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/23/2020,5/24/2020,,7/27/2020,7/27/2020,yes,no,"completely paralyzed, brain looked normal",,,8/14/2020,no,no glioma observable,yes,no,,,,,,,65,1,0,0,,,,,,,,,,,,1,,,,
,23790-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/23/2020,5/24/2020,7/27/2020,8/13/2020,8/13/2020,yes,no,"large head growth, difficulty breathing, brain looked normal if a little small.",,,8/14/2020,no,no glioma observable,yes,yes,,,,,,,82,1,1,0,,,1,,,,,,,1,,,,,,
,23791-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/23/2020,5/24/2020,,7/27/2020,7/31/2020,yes,spinal cord (intact). Casing of tissue pressed up on spinal cord.,"domed head, weak/paralyzed body, difficulty breathing. tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain",spinal cord,,8/3/2020,no,"tumor under brain, high grade",yes,yes,yes,,,,,,69,1,1,0,1,1,,,,,,,,1,,1,,,,
,23792-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/23/2020,5/24/2020,,8/5/2020,8/13/2020,yes,no,"difficulty breathing, small cranial nerve tumor",,,8/14/2020,no,"low grade glioma in the center cection of the cerebral cortex, ki67 is slightly higher there, pERK is negative, PTEN is still expressed",yes,yes,yes,positive,yes,negative,yes,1,82,1,1,1,1,1,,,,,,,,1,,,,,,
1,23821-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA-,5/28/2020,5/29/2020,,,8/17/2020,yes,no,"TVA-, only embedded to use as a control",,1,9/10/2020,no,,,no,,,,,,19,81,,,,,,,,,,,,,,,,,1,,
,23822-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/28/2020,5/29/2020,,7/27/2020,8/11/2020,yes,no,"slight domed head filled with liquid, small necrotic cranil nerve tumor, paralyzed",,,8/14/2020,no,no glioma observable,yes,yes,,,,,,,75,1,1,0,1,1,,,,,,,,,,1,1,,,
,23823-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,5/28/2020,5/29/2020,7/21/2020,7/21/2020,7/21/2020,yes,no,Slight domed head and complete paralysis,,1,7/23/2020,mass under brain,"glioma is mostly exterior to the brain, but there is also a bit on the bottom of the center section, one section has more Ki67 than another, pERK is more positive on the bit still connected to the brain and not so positive on the exterior tumor, PTEN looks lower for the connected bit, but PTEN has some odd staining artifacts",yes,yes,yes,positive,yes,positive,yes,0,54,1,1,1,,1,,,,,,,,,,1,,,,
,23824-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/28/2020,5/29/2020,,7/8/2020,7/16/2020,yes,eye tumor,Growth on head and tumor on eye noted,head tumor and spinal cord,,7/23/2020,no,no glioma observable,yes,yes,,,,,,,49,1,1,0,,,1,,,1,,,,,,,,,,
,23826-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/28/2020,5/29/2020,,7/23/2020,7/31/2020,yes,no,"weak/paralyzed body, difficulty breathing.Tumor surrounding left posterior cranial nerve",,,8/3/2020,no,tumor tissue visible under brain,yes,yes,yes,,,,,,64,1,1,0,1,1,,,,,,,,1,,1,,,,
,23828-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/28/2020,5/29/2020,,7/23/2020,8/21/2020,yes,tumor on side,"Mouse stopped grooming and began acting sickly, large tumor developed on side of it's body and appeared to originate from rib tissue?",tumor,,8/25/2020,no,no glioma observable,yes,yes,,,,,,,85,1,1,0,,,,,,,,,1,1,,,,,,
1,23864-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA-,5/30/2020,6/1/2020,,,8/17/2020,yes,no,"TVA-, only fixed to use as a control",brain,,,no,,,no,,,,,,,79,,,,,,,,,,,,,,,,,,1,
1,23865-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/30/2020,6/1/2020,,,9/29/2020,yes,no,"Mistakenly sacked. Error on cages tab for experimental end date. Brain looked normal, no tumors no behavior. Not too far from experimental endpoint anyway",,,10/28/2020,no,no glioma observable,yes,no,,,,,,,122,,,,,,,,,,,,,,,,,,1,
,23866-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/30/2020,6/1/2020,7/27/2020,,8/7/2020,yes,no,"Mouse was weak and sickly with domed head, necropsy showed necrotic tumor enveloping cranial nerves underneath brain.",,,8/10/2020,no,"high grade glioma on base of center section with vasculature and some form of rosette patterns, evenly high Ki67 positivity and pERK, PTEN is lower than in the normal brain section and mostly just stained blood vessels",yes,yes,yes,positive,yes,positive,yes,1,69,1,1,1,1,1,,,,,,,,1,,,,,,
,23867-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,5/30/2020,6/1/2020,,7/28/2020,8/5/2020,yes,no,"Brain looked perfectly normal, mouse was completely paralyzed",,,8/10/2020,no,no glioma observable,yes,no,,,,,,,67,1,0,0,,,,,,,,,,,,1,,,,
,23964-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,6/15/2020,6/18/2020,,9/1/2020,9/2/2020,yes,no,"Mouse was paralyzed, brain looked normal.",,,9/10/2020,no,no glioma observable,yes,no,,,,,,,79,1,0,0,,,,,,,,,,,,1,,,,
,23965-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,6/15/2020,6/18/2020,,9/14/2020,9/15/2020,yes,no,"Mouse was paralyzed, brain looked normal, necropsy showed tumor surroundign spine at base of spine. ",,,10/28/2020,spinal cord tumor,no glioma observable,yes,yes,,,,,,,92,1,1,0,,,,,1,,,,,,,1,,,,
,23966-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,6/15/2020,6/18/2020,,9/15/2020,10/2/2020,yes,under brain tumor and shoulder tumor,"Brain, tumor underneath brain as well as shoulder tumor. Brain tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well. Sacked because ms became very sickly",,,10/28/2020,no,"some tumor can be seen on the edge, tumor is Ki67+",yes,yes,,positive,yes,positive,yes,0,109,1,1,1,1,1,,,,,,1,,1,,,,,,
,23967-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,6/15/2020,6/18/2020,8/7/2020,,9/15/2020,yes,no,"Very large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain. Sick and was sacked",,,10/28/2020,spinal cord tumor,"there is tumor tissue under the brain, tumor ios Ki67+",yes,yes,yes,,,,,,92,1,1,0,1,1,1,,1,,,,,1,,,,,,
,23968-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,6/15/2020,6/18/2020,,9/2/2020,9/8/2020,yes,no,"Mouse was paralyzed, brain looked normal.",,,9/10/2020,no,no glioma observable,yes,no,,,,,,,85,1,0,0,,,,,,,,,,,,1,,,,
,23969-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,6/15/2020,6/18/2020,,9/1/2020,9/2/2020,yes,no,"Mouse was paralyzed, brain looked normal.",,,9/10/2020,no,no glioma observable,yes,no,,,,,,,79,1,0,0,,,,,,,,,,,,1,,,,
,23970-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,6/15/2020,6/18/2020,7/28/2020,,8/24/2020,yes,head tumor,"Very large tumor growing over skull, mouse became sickly and was sacked. Brain appeared normal",,,8/25/2020,no,no glioma observable,yes,yes,,,,,,,70,1,1,0,,,1,,,,,,,1,,,,,,
,23971-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,6/15/2020,6/18/2020,,9/1/2020,9/2/2020,yes,no,"Mouse was paralyzed, brain looked normal.",,,9/10/2020,no,no glioma observable,yes,no,,,,,,,79,1,0,0,,,,,,,,,,,,1,,,,
,24801-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,9/22/2020,9/22/2020,,,3/5/2021,yes,no,end of experiment,,,3/26/2021,no,no glioma observable,yes,no,,,,,,,164,0,0,,,,,,,,,,,,,,,,1,
,24802-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,9/22/2020,9/22/2020,,,3/5/2021,yes,no,end of experiment,,,3/26/2021,no,no glioma observable,yes,no,,,,,,,164,0,0,,,,,,,,,,,,,,,,1,
,24803-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,9/22/2020,9/22/2020,,,3/5/2021,yes,no,end of experiment,,,3/26/2021,no,no glioma observable,yes,no,,,,,,,164,0,0,,,,,,,,,,,,,,,,1,
1,24804-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Female,TVA-,9/22/2020,9/22/2020,,,3/5/2021,yes,no,"end of experiment, TVA- so don't include in the experiment, but could possibly use for a control sample.",,1,3/26/2021,no,no glioma,yes,no,,,,,,,164,,,,,,,,,,,,,,,,,,,
,24805-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,9/22/2020,9/22/2020,,,3/5/2021,yes,no,end of experiment,,,3/26/2021,no,"no glioma observable, but Sheri noticed a bundle of nerves",yes,no,,,,,,,164,0,0,,,,,,,,,,,,,,,,1,
1,24806-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,9/22/2020,9/22/2020,,,12/17/2020,no,no,Fighting so sacked not worth keeping alone,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,
,24807-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,9/22/2020,9/22/2020,,,3/5/2021,yes,no,"end of experiment, looked normal",,,3/26/2021,no,"no glioma observable, but Sheri noticed a bundle of nerves",yes,no,,,,,,,164,0,0,,,,,,,,,,,,,,,,1,
,24986-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/11/2020,10/12/2020,,12/18/2020,12/18/2020,yes,no,"Mouse was paralyzed, brain looked normal.",,,2/23/2021,no,"Sheri thinks she sees a possible low grade tumor, nothing seen in Ki67 slide",yes,no,yes,negative,,negative,,2,68,1,0,0,,,,,,,,,,,,1,,,,
,24987-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/11/2020,10/12/2020,,12/18/2020,12/18/2020,yes,no,"Mouse was paralyzed, brain looked normal.",,,2/23/2021,no,no glioma observable,yes,no,,,,,,,68,1,0,0,,,,,,,,,,,,1,,,,
,24988-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/11/2020,10/12/2020,,2/16/2021,2/16/2021,yes,no,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.Very disteneded abdomen was due to all digestive organs being maximally filled with gas including stomach.",,,2/23/2021,no,"looks like there are pieces of tumor in the slide, but disconnected from the brain",yes,yes,yes,,,,,,128,1,1,0,1,1,,,,,,,,,1,,,,,
,24989-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/11/2020,10/12/2020,12/9/2020,,12/24/2020,yes,head tumor,"Large head tumor brain appeared normal. Tumor samples, frozen, H&E and cell line made",extra head tumor with brain,,2/23/2021,head tumor,"no glioma observable, head tumor is there",yes,yes,,,,,,,74,1,1,0,,,1,,,,,,,,,,,,,
,25025-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,Tg/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/13/2020,10/14/2020,1/21/2021,1/27/2021,1/27/2021,yes,spinal cord,"domerd head noticed 1/21/20, became lethargic on 1/27, head is domed and back is hunched, fixed entire brain, brain stem and spinal cord looked enlarged, but not a clear tumor to split three ways, just trypsinized the brainstem/spinal cord for a cell line",,1,3/26/2021,no,"large high grade glioma present, Ki67+",yes,yes,,positive,yes,positive,yes,0,106,1,1,1,,1,,,,,,,,1,,,,,,
,25026-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/13/2020,10/14/2020,12/9/2020,,1/4/2021,yes,head tumor,"Large tumor growing on head, samples collected freezing, cell line, and H&E",extra head tumor with brain,,2/23/2021,head tumor,"entire head was sectioned, no glioma observed, but head tumor is there",yes,yes,,,,,,,83,1,1,0,,,1,,,,,,,,,,,,,
,25027-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/13/2020,10/14/2020,12/15/2020,,12/30/2020,yes,head tumor,"Large tumor growing on head, samples collected freezing, cell line, and H&E",extra head tumor with brain,,2/23/2021,head tumor,"entire head was sectioned, no glioma observed, but head tumor is there",yes,yes,,,,,,,78,1,1,0,,,1,,,,,,,,,,,,,
,25028-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/13/2020,10/14/2020,,1/29/2021,2/1/2021,yes,no,"paralyzed,Brain looked normal, no tumor noted anywhere on body/spinal cord. ",,,2/23/2021,no,no glioma observable,yes,no,,,,,,,111,1,0,0,,,,,,,,,,,,1,,,,
,25029-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/13/2020,10/14/2020,12/9/2020,,12/28/2020,yes,head tumor,Animal sacked due to large tumor growing on head and eventually covering eye. Tumor harvested for freezing and cell line,extra head tumor with brain,,2/23/2021,head tumor,"entire head was sectioned, no glioma observed, but head tumor is there",yes,yes,,,,,,,76,1,1,0,,,1,,,,,,,,,,,,,
,25031-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/13/2020,10/14/2020,12/9/2020,,12/30/2020,yes,no,"No Tumor noted, swelling of head was due to extreme distension of brain from liquid filling th enetire cortex. Brain was completely hollow except for mid and hindbrain. Collected for H&E.",,,2/23/2021,no,"no glioma observable, but tissue was all tore up due to hydrocephalus",yes,no,,,,,,,78,1,0,0,,,,,,,,,,,,,1,,,
,25033-30,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/13/2020,10/14/2020,,1/4/2021,1/6/2021,yes,no,"Mouse was sacked due to paralysis, no tumor noted and brain was harvested for H&E",,,2/23/2021,no,no glioma observable,yes,no,,,,,,,85,1,0,0,,,,,,,,,,,,1,,,,
