Mouse Number,Strain,Virus,Tyr-Cre Status,Gender,DOB,Injection Date,Tumor Noticed,Behavior Noticed,Death Date,End Date,MRI Imaging Date,Age of Tumor Onset,Age of Behavior Onset,Age at Death,Tumor Locations,Tumor Grade (Post-H&E),Notes,
26023-00,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,1/20/2021,1/22/2021,4/23/2021,,5/10/2021,,,93,,110,extracranial,,"bump on head noticed 4/23/21, sacked when it was big enough to harvest for a cell line, fix, and freeze",
Cohort Averages,N=17,,,,,,,,,,,76.55555556,75,83,,,,
Median,N=17,,,,,,,,,,,56,75,78,,,,
24801-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,9/22/2020,9/22/2020,,,3/5/2021,,,,,164,,,No tumor. Sac'd for end date.,
24802-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,9/22/2020,9/22/2020,,,3/5/2021,,,,,164,,,No tumor. Sac'd for end date.,
24803-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,9/22/2020,9/22/2020,,,3/5/2021,,,,,164,,,No tumor. Sac'd for end date.,
24805-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,9/22/2020,9/22/2020,,,3/5/2021,,,,,164,,,No tumor. Sac'd for end date.,
24807-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,9/22/2020,9/22/2020,,,3/5/2021,,,,,164,,,No tumor. Sac'd for end date.,
25080-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,10/19/2020,10/19/2020,,,3/18/2021,,,,,150,,,No tumor. Sac'd for end date.,
25081-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,10/19/2020,10/19/2020,,,3/18/2021,,,,,150,,,No tumor. Sac'd for end date.,
25082-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,10/19/2020,10/19/2020,,,3/18/2021,,,,,150,,,No tumor. Sac'd for end date.,
25083-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,10/19/2020,10/19/2020,,,3/18/2021,,,,,150,,,No tumor. Sac'd for end date.,
25084-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,10/19/2020,10/19/2020,,,3/18/2021,,,,,150,,,No tumor. Sac'd for end date.,
25085-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,10/19/2020,10/19/2020,,,3/18/2021,,,,,150,,,No tumor. Sac'd for end date.,
25086-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,10/19/2020,10/19/2020,,,3/18/2021,,,,,150,,,No tumor. Sac'd for end date.,
25214-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/5/2020,11/5/2020,,,4/5/2021,,,,,151,,,No tumor. Sac'd for end date.,
25215-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/5/2020,11/5/2020,,,4/5/2021,,,,,151,,,No tumor. Sac'd for end date.,
25216-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/5/2020,11/5/2020,,,4/5/2021,,,,,151,,,No tumor. Sac'd for end date.,
25218-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/5/2020,11/5/2020,,,4/5/2021,,,,,151,,,No tumor. Sac'd for end date.,
25220-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/5/2020,11/5/2020,,,4/5/2021,,,,,151,,,No tumor. Sac'd for end date.,
25221-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/5/2020,11/5/2020,,,4/5/2021,,,,,151,,,No tumor. Sac'd for end date.,
25266-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/7/2020,11/9/2020,,,4/6/2021,,,,,150,,,No tumor. Sac'd for end date.,
25267-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/7/2020,11/9/2020,,,4/6/2021,,,,,150,,,No tumor. Sac'd for end date.,
25268-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/7/2020,11/9/2020,,,4/6/2021,,,,,150,,,No tumor. Sac'd for end date.,
25269-30,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/7/2020,11/9/2020,,,4/6/2021,,,,,150,,,No tumor. Sac'd for end date.,
25271-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/7/2020,11/9/2020,,,4/6/2021,,,,,150,,,No tumor. Sac'd for end date.,
25272-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/7/2020,11/9/2020,,,4/6/2021,,,,,150,,,No tumor. Sac'd for end date.,
25274-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/7/2020,11/9/2020,,,4/6/2021,,,,,150,,,No tumor. Sac'd for end date.,
25304-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/10/2020,11/11/2020,,,4/9/2021,,,,,150,,,No tumor. Sac'd for end date.,
25305-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/10/2020,11/11/2020,,,4/9/2021,,,,,150,,,No tumor. Sac'd for end date.,
25307-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/10/2020,11/11/2020,,,4/9/2021,,,,,150,,,No tumor. Sac'd for end date.,
25308-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/10/2020,11/11/2020,,,4/9/2021,,,,,150,,,No tumor. Sac'd for end date.,
25309-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/10/2020,11/11/2020,,,4/9/2021,,,,,150,,,No tumor. Sac'd for end date.,
25310-30,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre,,,11/10/2020,11/11/2020,,,4/9/2021,,,,,150,,,No tumor. Sac'd for end date.,
Cohort Averages,N=31,,,,,,,,,,,,,150.2352941,,,,
Median,,,,,,,,,,,,,,150,,,,
25782-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/29/2020,12/29/2020,,,5/28/2021,,,,,150,,,No tumor. Sac'd for end date.,
25783-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/29/2020,12/29/2020,,,5/28/2021,,,,,150,,,No tumor. Sac'd for end date.,
25784-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/29/2020,12/29/2020,,,5/28/2021,,,,,150,,,No tumor. Sac'd for end date.,
25785-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/29/2020,12/29/2020,,,5/28/2021,,,,,150,,,No tumor. Sac'd for end date.,
25787-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/29/2020,12/29/2020,,,5/28/2021,,,,,150,,,No tumor. Sac'd for end date.,
25788-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/29/2020,12/29/2020,,,5/28/2021,,,,,150,,,No tumor. Sac'd for end date.,
25548-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/4/2020,12/4/2020,,,5/10/2021,,,,,157,,,No tumor. Sac'd for end date.,
25549-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/4/2020,12/4/2020,,,5/10/2021,,,,,157,,,No tumor. Sac'd for end date.,
25550-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/4/2020,12/4/2020,,,5/10/2021,,,,,157,,,No tumor. Sac'd for end date.,
25595-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/9/2020,12/10/2020,,,5/10/2021,,,,,152,,,No tumor. Sac'd for end date.,
25596-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/9/2020,12/10/2020,,,5/10/2021,,,,,152,,,No tumor. Sac'd for end date.,
25597-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/9/2020,12/10/2020,,,5/10/2021,,,,,152,,,No tumor. Sac'd for end date.,
25598-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,12/9/2020,12/10/2020,,,5/10/2021,,,,,152,,,No tumor. Sac'd for end date.,
25328-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/13/2020,11/13/2020,,,4/12/2021,,,,,150,,,No tumor. Sac'd for end date.,
25238-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/6/2020,2/3/2021,,3/3/2021,,,89,,117,,,"extracranial tumor, no glioma",
25239-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/6/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25240-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/6/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25241-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/6/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25242-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/6/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25258-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/9/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25259-11,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/9/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25261-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/9/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25262-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/9/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25263-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/9/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25264-30,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,11/6/2020,11/9/2020,,,4/5/2021,,,,,150,,,No tumor. Sac'd for end date.,
25087-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,10/20/2020,10/20/2020,,,3/19/2021,,,,,150,,,No tumor. Sac'd for end date.,
25088-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,10/20/2020,10/20/2020,,,3/19/2021,,,,,150,,,No tumor. Sac'd for end date.,
25089-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,10/20/2020,10/20/2020,,,3/19/2021,,,,,150,,,No tumor. Sac'd for end date.,
25090-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,10/20/2020,10/20/2020,,,3/19/2021,,,,,150,,,No tumor. Sac'd for end date.,
25091-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,10/20/2020,10/20/2020,,,3/19/2021,,,,,150,,,No tumor. Sac'd for end date.,
25092-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f,RCAS-Cre,,,10/20/2020,10/20/2020,,,3/19/2021,,,,,150,,,No tumor. Sac'd for end date.,
Cohort Averages,N=31,,,,,,,,,,,89,,148.0588235,,,,
Median,,,,,,,,,,,,,,150,,,,
