mouse_num,tumor_id,patho_est_location,patho_tumor_grade,patho_notes,requests,tumor,mouse_tumor,necropsy_file_comments,strain,virus,tyr_cre_status,gender,dob,injection_date,tumor_noticed,behavior_noticed,death_date,end_date,mri_imaging_date,age_of_tumor_onset,age_of_behavior_onset,age_at_death,tumor_locations,tumor_grade_post_h_e,notes,injected_by,mouse_num_tag,mouse_tag,age_death_cap,exclude,mouse_id,shorthand_strain_name,tyr_cre_status_confirmed,injected_with,number_of_cells_injected,vol_injected,tva_status,birth_date,domed_head_or_observable_tumor_date,behavior_date,brain_harvested,other_organs_harvested,behavior_and_necropsy_notes,fixed_tissue_still_in_ethanol,is_useful_as_a_control_or_otherwise_includes_a_large_tumor,h_e_submission_date,tissues_submitted,brain_h_e_and_ihc_notes,sheri_has_seen_h_e,proof_of_mass,full_slide_scan_of_h_e_on_external_hd,ki67_result,full_slide_scan_of_ki67_on_external_hd,p_erk_result_only_listed_if_it_was_done,full_slide_scan_of_p_erk_on_external_hd,unstained_slides_available,death_age_or_current_age_for_survival_curve,overall_survival_1_if_there_was_any_evidence_of_tumor_visible_before_necropsy_or_after_ihc_behavior_change_or_unexplained_death_0_if_not,tumor_free_survival_1_only_if_there_was_any_abnormal_mass_or_enlargement_visible_upon_necropsy_or_h_e_0_if_mouse_survived_to_150_days_and_had_no_tumor_exclude_if_death_was_early_and_no_hard_proof_of_tumor,glioma_free_survival_1_if_a_glioma_inside_brain_or_infiltrating_the_brain_verified_by_ki67_0_if_no_observable_glioma_is_present_exclude_if_h_e_wasnt_done_or_mouse_was_sacked_before_150_days_for_whatever_reason,cranial_nerve_tumor_anything_in_the_cranial_cavity_but_not_necessarily_infiltrating_or_inside_the_brain_most_likely_located_under_the_brain,intracranial_glioma_or_outside_of_brain_and_still_in_skull_combo_of_previous_2,head_tumor_outside_of_and_connected_to_skull,lymph_node_tumor_wasnt_always_looking_for_but_noticed_when_they_were_big,lower_spinal_cord_tumor_unfortunatly_didnt_start_looking_for_this_until_later,eye_tumor_where_it_was_clear_it_was_the_optical_nerve_and_or_involving_the_eye,auditory_nerve_not_connected_to_skull_like_head_tumors_but_on_head_and_connected_to_skin_sort_of,cutaneous_skin_somewhere_on_body,rib_cage,lethargic_difficulty_breathing_looked_sick,puffy_full_of_gas,paralysis_from_starting_to_drag_hind_legs_to_full_on_immobility,hydrocephalus,non_tumor_related_reason_for_death,nothing_abnormal,found_dead
28208,NA,NA,NA,NA,NA,T1,28208 T1,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2021-10-12,2021-10-14,2021-12-04,NA,2021-12-22,2021-12-22,NA,53,NA,71,"Glioblastoma, Gliosarcoma?",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RH,28208-11,11,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28525,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,F,2021-11-11,2021-11-13,NA,2021-12-28,2021-12-28,2021-12-28,NA,NA,47,47,intracranial,NA,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver.",NA,28525-00,00,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28526,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,F,2021-11-11,2021-11-13,2022-03-01,NA,2022-03-07,2022-03-07,NA,110,NA,116,"brain, optic nerve",NA,"Swollen brain, blood in the skull prior to skull incision, large tumor under brain attached to optic nerve. Bulging eyeball",NA,28526-01,01,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28527,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,F,2021-11-11,2021-11-13,2022-01-06,NA,2022-01-20,2022-01-20,NA,56,NA,70,extracranial,NA,"Large head tumor, skull was friable but there was no evidence of invasion into the brain from the head tumor",NA,28527-03,03,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28528,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,F,2021-11-11,2021-11-13,2022-03-10,NA,2022-03-23,2022-03-23,NA,119,NA,132,brain,NA,"Swollen brain, watery and soft. Lungs and liver looked healthy.",NA,28528-10,10,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28529,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,F,2021-11-11,2021-11-13,2022-02-23,2022-02-23,2022-02-28,2022-02-28,NA,104,104,109,"brain, extracranial",NA,"Swollen brain, blood in the skull prior to skull incision. Glioma, tumor was so large that there was a change of shape to the skull, and paralysis present",NA,28529-11,11,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28530,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,M,2021-11-11,2021-11-13,NA,2022-01-04,2022-02-15,2022-02-15,NA,NA,54,96,brain,NA,"Glioma, no tumor visible but paralysis present. Swollen brain, blood in the skull prior to skull incision",NA,28530-00,00,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28531,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,M,2021-11-11,2021-11-13,NA,2022-01-25,2022-02-15,2022-02-15,NA,NA,75,96,brain,NA,"Swollen brain, blood in the skull prior to skull incision. Brain was incredibly soft, difficult to remove",NA,28531-01,01,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28532,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,NA,M,2021-11-11,2021-11-13,NA,2022-01-04,2022-01-13,2022-01-13,NA,NA,54,63,brain,NA,"no obs. Tumor, paralyzed",NA,28532-03,03,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28708,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,2021-12-01,2021-12-03,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,188,NA,NA,no evidence of tumor,RH,28708-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28709,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2021-12-01,2021-12-03,NA,2022-04-05,2022-06-07,2022-06-07,2022-04-28,NA,NA,188,NA,NA,no evidence of tumor,RH,28709-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28710,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2021-12-01,2021-12-03,NA,2022-04-05,2022-06-07,2022-06-07,2022-04-28,NA,NA,188,NA,NA,no evidence of tumor,RH,28710-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28780,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,2021-12-06,2021-12-07,NA,2022-01-03,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,slightly hunched back but no evidence of tumor,RH,28780-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28781,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,no evidence of tumor,RH,28781-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28782,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,no evidence of tumor,RH,28782-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28783,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,no evidence of tumor,RH,28783-03,03,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28784,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,no evidence of tumor,RH,28784-10,10,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29161,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-01-18,2022-01-20,NA,2022-03-15,2022-03-15,2022-03-15,NA,NA,56,56,NA,NED but check pathology?,"Lost weight, extreme hunchback, head twitching, slow moving. Soft skull and brain. No obs. Tumor, no other CNS tumor found",RE,29161-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29162,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-01-18,2022-01-20,NA,2022-03-15,2022-03-15,2022-03-15,NA,NA,56,56,NA,NED but check pathology?,"Lost weight, mild hunchback, slow moving. Soft skull and brain. No obs. Tumor, no other CNS tumor found. Enlarged optic nerve",RE,29162-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29163,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-01-18,2022-01-20,NA,NA,2022-06-21,2022-06-21,2022-05-18,NA,NA,154,NA,NA,no evidence of tumor,RE,29163-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29164,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-01-18,2022-01-20,NA,NA,2022-06-21,2022-06-21,2022-05-18,NA,NA,154,NA,NA,squishy brain,RE,29164-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29165,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-01-18,2022-01-20,NA,NA,2022-06-21,2022-06-21,2022-05-18,NA,NA,154,NA,NA,no evidence of tumor,RE,29165-10,10,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29166,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-01-18,2022-01-20,NA,NA,2022-06-21,2022-06-21,2022-05-18,NA,NA,154,NA,NA,no evidence of tumor,RE,29166-11,11,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29385,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,2022-02-09,2022-02-10,NA,NA,2022-07-09,2022-07-09,2022-06-09,NA,NA,NA,NA,NA,NA,RE,29385-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29386,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-02-09,2022-02-10,NA,NA,2022-07-09,2022-07-09,2022-06-09,NA,NA,NA,NA,NA,NA,RE,29386-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29388,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2022-02-09,2022-02-10,NA,2022-04-04,2022-07-09,2022-07-09,2022-06-09,NA,54,NA,NA,NA,NA,RE,29388-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29389,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2022-02-09,2022-02-10,NA,2022-04-04,2022-06-10,2022-06-10,2022-06-09,NA,54,121,NA,NA,NA,RE,29389-10,10,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29390,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2022-02-09,2022-02-10,NA,2022-04-05,2022-06-10,2022-06-10,2022-06-09,NA,55,121,NA,NA,NA,RE,29390-11,11,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29397,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29397-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29398,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29398-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29399,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29399-03,03,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29400,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29400-10,10,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29401,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29401-30,30,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29403,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29403-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29404,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29404-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29405,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-02-10,2022-02-10,NA,NA,2022-07-10,2022-07-10,2022-06-10,NA,NA,NA,NA,NA,NA,RE,29405-10,10,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29406,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,2022-02-09,2022-02-10,NA,NA,2022-07-09,2022-07-09,2022-06-09,NA,NA,NA,NA,NA,NA,RE,29406-10,10,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29407,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2022-02-10,2022-02-10,NA,2022-03-29,2022-04-02,2022-04-02,NA,NA,47,51,NA,NA,"ruffle fur noticed, but no obs. Tumor. found dead",RE,29407-00,00,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29408,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2022-02-10,2022-02-10,NA,2022-03-29,2022-04-03,2022-04-03,NA,NA,47,52,NA,NA,"ruffle fur noticed, but no obs. Tumor. found dead",RE,29408-01,01,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
