"mouse_num","tumor_id","patho_est_location","patho_tumor_grade","patho_notes","requests","tumor","mouse_tumor","necropsy_file_comments","strain","virus","tyr_cre_status","gender","dob","injection_date","tumor_noticed","behavior_noticed","death_date","end_date","mri_imaging_date","age_of_tumor_onset","age_of_behavior_onset","age_at_death","tumor_locations","tumor_grade_post_h_e","notes","injected_by","mouse_num_tag","mouse_tag","age_death_cap","src","necropsy_comments"
25263,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25263-10","10",151,"RE",NA
25264,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25264-30","30",151,"RE",NA
25266,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25266-01","01",151,"RE",NA
25267,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25267-03","03",151,"RE",NA
25268,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25268-10","10",151,"RE",NA
25269,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25269-30","30",151,"RE",NA
25271,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25271-00","00",151,"RE",NA
25272,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25272-01","01",151,"RE",NA
25274,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25274-10","10",151,"RE",NA
25304,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25304-00","00",151,"RE",NA
25305,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25305-01","01",151,"RE",NA
25307,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25307-01","01",151,"RE",NA
25308,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25308-03","03",151,"RE",NA
25309,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25309-10","10",151,"RE",NA
25310,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25310-30","30",151,"RE",NA
25328,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-13,2020-11-13,NA,NA,2021-04-12,2021-04-12,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25328-01","01",151,"RE",NA
25548,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-04,2020-12-04,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,157,NA,NA,"No tumor. Sac'd for end date.",NA,"25548-00","00",151,"RE",NA
25549,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-04,2020-12-04,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,157,NA,NA,"No tumor. Sac'd for end date.",NA,"25549-01","01",151,"RE",NA
25550,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-04,2020-12-04,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,157,NA,NA,"No tumor. Sac'd for end date.",NA,"25550-00","00",151,"RE",NA
25595,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25595-00","00",151,"RE",NA
25596,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25596-01","01",151,"RE",NA
25597,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25597-00","00",151,"RE",NA
25598,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25598-01","01",151,"RE",NA
25782,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25782-00","00",151,"RE",NA
25783,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25783-01","01",151,"RE",NA
25784,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25784-00","00",151,"RE",NA
25785,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25785-01","01",151,"RE",NA
25787,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25787-10","10",151,"RE",NA
25788,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25788-03","03",151,"RE",NA
26007,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,NA,2021-04-13,2021-04-13,2021-04-13,NA,NA,83,83,"spinal cord",NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","RH","26007-00","00",81,"RE",NA
26009,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,2021-03-15,NA,2021-03-30,2021-03-30,NA,54,NA,69,"Gliosarcoma?",NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","RH","26009-03","03",67,"RE",NA
26010,NA,NA,NA,NA,NA,"T1","26010 T1","nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,NA,2021-04-13,2021-04-13,2021-04-13,NA,NA,83,83,"spinal cord",NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","RH","26010-10","10",81,"RE","nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine"
26011,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-01-20,2021-01-22,2021-03-15,NA,2021-03-26,2021-03-26,NA,54,NA,65,"Gliosarcoma?",NA,"froze part of head tumor, trypsinized part for cell line, and FFPE it. Brain itself also FFPE. Found a tiny white mass between the tumor and brain, that sort of indented the top left of the brain and defored the skull, unsure if it was attached to the main tumor or how the skull was involved since I had to cut open the skull to retreive the brain.","RH","26011-00","00",63,"RE",NA
26022,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,2021-03-15,NA,2021-04-01,2021-04-01,NA,54,NA,71,"extracranial",NA,"mouse seamed healthy, but head tumor was becoming larger than 2cm in diameter. There was a small ball of tissue in front of the brain, so not sure if it will be included in the slide, but unsure what it is.",NA,"26022-00","00",69,"RE",NA
26023,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-01-20,2021-01-22,2021-04-23,NA,2021-05-10,2021-05-10,NA,93,NA,110,"extracranial",NA,"bump on head noticed 4/23/21, sacked when it was big enough to harvest for a cell line, fix, and freeze",NA,"26023-00","00",108,"RE",NA
26279,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-04-13,NA,2021-04-13,2021-04-13,NA,53,NA,53,"Gliosarcoma?",NA,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.","RH","26279-11","11",51,"RE",NA
26305,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-21,2021-02-21,NA,2021-05-10,2021-05-10,2021-05-10,NA,NA,78,78,"nerve tumor",NA,"mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve",NA,"26305-00","00",78,"RE",NA
26306,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-21,2021-02-21,NA,2021-06-09,2021-06-16,2021-06-16,NA,NA,108,115,"nerve tumor",NA,"starting to drag hind legs on 6/9/21, on 6/16 mouse was breathing heavy and looked scruffy, sacked in order to not find dead, enlarged cranial nerve on right side with a mass around it was used to make a cell line with",NA,"26306-00","00",115,"RE",NA
26307,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-21,2021-02-21,2021-04-13,NA,2021-04-13,2021-04-13,NA,51,NA,51,"extracranial",NA,"mouse was sort of small and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,"26307-01","01",51,"RE",NA
26308,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-21,2021-02-21,NA,2021-05-19,2021-05-19,2021-05-19,NA,NA,87,87,"no obs",NA,"partially paralyzed in hind legs, everything else looked normal",NA,"26308-03","03",87,"RE",NA
26309,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-21,2021-02-21,NA,2021-04-30,2021-04-30,2021-04-30,NA,NA,68,68,"no obs",NA,"loosing mobility in hind legs, could probably have survived longer, but didn't want to risk finding it dead after the weekend, everything appears normal after necropsy.",NA,"26309-10","10",68,"RE",NA
26310,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-21,2021-02-21,2021-04-13,NA,2021-04-13,2021-04-13,NA,51,NA,51,"extracranial",NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,"26310-30","30",51,"RE",NA
26311,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-21,2021-02-21,2021-04-13,NA,2021-04-13,2021-04-13,NA,51,NA,51,"extracranial",NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,"26311-11","11",51,"RE",NA
28201,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","F",2021-10-12,2021-10-14,2021-12-16,NA,2021-12-27,2021-12-27,NA,NA,NA,NA,NA,NA,"found dead, tumor over left eye.","RH","28201-01","01",151,"RE",NA
28206,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-12-20,NA,2022-01-03,2022-01-03,NA,NA,NA,NA,NA,NA,"found dead with swollen head.","RH","28206-03","03",151,"RE",NA
28208,NA,NA,NA,NA,NA,"T1","28208 T1","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-12-04,NA,2021-12-22,2021-12-22,NA,53,NA,71,"Glioblastoma, Gliosarcoma?",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","RH","28208-11","11",69,"RE","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)"
28525,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-11-11,2021-11-13,NA,2021-12-28,2021-12-28,2021-12-28,NA,NA,47,47,"intracranial",NA,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver.",NA,"28525-00","00",45,"RE",NA
28526,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-11-11,2021-11-13,2022-03-01,NA,2022-03-07,2022-03-07,NA,110,NA,116,"brain, optic nerve",NA,"Swollen brain, blood in the skull prior to skull incision, large tumor under brain attached to optic nerve. Bulging eyeball",NA,"28526-01","01",114,"RE",NA
28527,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-11-11,2021-11-13,2022-01-06,NA,2022-01-20,2022-01-20,NA,56,NA,70,"extracranial",NA,"Large head tumor, skull was friable but there was no evidence of invasion into the brain from the head tumor",NA,"28527-03","03",68,"RE",NA
28528,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-11-11,2021-11-13,2022-03-10,NA,2022-03-23,2022-03-23,NA,119,NA,132,"brain",NA,"Swollen brain, watery and soft. Lungs and liver looked healthy.",NA,"28528-10","10",130,"RE",NA
28529,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-11-11,2021-11-13,2022-02-23,2022-02-23,2022-02-28,2022-02-28,NA,104,104,109,"brain, extracranial",NA,"Swollen brain, blood in the skull prior to skull incision. Glioma, tumor was so large that there was a change of shape to the skull, and paralysis present",NA,"28529-11","11",107,"RE",NA
28530,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-11-11,2021-11-13,NA,2022-01-04,2022-02-15,2022-02-15,NA,NA,54,96,"brain",NA,"Glioma, no tumor visible but paralysis present. Swollen brain, blood in the skull prior to skull incision",NA,"28530-00","00",94,"RE",NA
28531,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-11-11,2021-11-13,NA,2022-01-25,2022-02-15,2022-02-15,NA,NA,75,96,"brain",NA,"Swollen brain, blood in the skull prior to skull incision. Brain was incredibly soft, difficult to remove",NA,"28531-01","01",94,"RE",NA
28532,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-11-11,2021-11-13,NA,2022-01-04,2022-01-13,2022-01-13,NA,NA,54,63,"brain",NA,"no obs. Tumor, paralyzed",NA,"28532-03","03",61,"RE",NA
28708,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/+","F",2021-12-01,2021-12-03,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,188,NA,NA,"no evidence of tumor","RH","28708-00","00",151,"RE",NA
28709,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/+","M",2021-12-01,2021-12-03,NA,2022-04-05,2022-06-07,2022-06-07,2022-04-28,NA,NA,188,NA,NA,"no evidence of tumor","RH","28709-00","00",151,"RE",NA
28710,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/+","M",2021-12-01,2021-12-03,NA,2022-04-05,2022-06-07,2022-06-07,2022-04-28,NA,NA,188,NA,NA,"no evidence of tumor","RH","28710-01","01",151,"RE",NA
28780,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/+","F",2021-12-06,2021-12-07,NA,2022-01-03,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,"slightly hunched back but no evidence of tumor","RH","28780-00","00",151,"RE",NA
28781,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/+","M",2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,"no evidence of tumor","RH","28781-00","00",151,"RE",NA
28782,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/+","M",2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,"no evidence of tumor","RH","28782-01","01",151,"RE",NA
28783,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/+","M",2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,"no evidence of tumor","RH","28783-03","03",151,"RE",NA
28784,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-12-06,2021-12-07,NA,NA,2022-06-07,2022-06-07,2022-04-28,NA,NA,183,NA,NA,"no evidence of tumor","RH","28784-10","10",151,"RE",NA
29161,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","F",2022-01-18,2022-01-20,NA,2022-03-15,2022-03-15,2022-03-15,NA,NA,56,56,NA,"NED but check pathology?","Lost weight, extreme hunchback, head twitching, slow moving. Soft skull and brain. No obs. Tumor, no other CNS tumor found","RE","29161-00","00",151,"RE",NA
29162,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","F",2022-01-18,2022-01-20,NA,2022-03-15,2022-03-15,2022-03-15,NA,NA,56,56,NA,"NED but check pathology?","Lost weight, mild hunchback, slow moving. Soft skull and brain. No obs. Tumor, no other CNS tumor found. Enlarged optic nerve","RE","29162-01","01",151,"RE",NA
29163,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2022-01-18,2022-01-20,NA,NA,2022-06-21,2022-06-21,2022-05-18,NA,NA,154,NA,NA,"no evidence of tumor","RE","29163-00","00",151,"RE",NA
29164,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA::H11LSL-Cas9","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2022-01-18,2022-01-20,NA,NA,2022-06-21,2022-06-21,2022-05-18,NA,NA,154,NA,NA,"squishy brain","RE","29164-01","01",151,"RE",NA
