"","mouse_num","had_tumor","patho_notes","patho_tumor_grade","tumor_grade_post_h_e","notes","necropsy_comments","necropsy_behavior_comments","brain_h_e_and_ihc_notes"
"156",25741,1,NA,NA,NA,NA,NA,"mouse looked like it was becoming emanciated and starting to have a hunched back, upon necropsy, there was a cranial nerve tumor somewhat attched to the base of the cranial cavity, and not as attached to the brain. A part of the tumor was fixed with the brain, while another part was frozen and used for a cell line.","large high grade glioma on the back section of the brain toward the mouse's right side, some pallisading necrosis and vasculature, Ki67 is more positive towards the brain side and more negative towards the edge, pERK is positive throughout excluding the necrotic spots, PTEN is off in the tumor except for vasculature, but PTEN is also not very strong in the rest of the brain"
"157",25742,1,NA,NA,NA,NA,NA,"partially paralyzed, small mass could be part of cerebellum or could be a tumor, only did FFPE with it","no glioma observable"
"158",25743,1,NA,NA,NA,NA,NA,"Sacked for tumor size. Massive tumor encasing head. Brain unremovable. Froze portion of tumor and started cell line with it.","no glioma observable, but head tumor is there and Sheri says it looks like melanomas do"
"159",25745,1,NA,NA,NA,NA,NA,"only partially paralyzed, but looked very emanciated, so had to sack, small white spot on top center of skull (T1), not sure if that is anything, but fixed it anyway. Tumor was visible around the base of the spine, cross section of the spine was fixed (with bone), and piece of tumor was made into a cell line.","no glioma observable"
"160",25763,NA,NA,NA,NA,NA,NA,"Animal Found dead, unable to necropsy",NA
"161",25764,1,NA,NA,NA,NA,NA,"mouse was becoming lethargic and developing a hunched back, wanted to sack before the weekend, cranial nerves under the base of the brain were enlarged and both fixed and used for a cell line. No tumor was frozen.","no glioma observable"
"162",25766,1,NA,NA,NA,NA,NA,"Brain was completely hollow and filled with liquid. Mouse sacked due to paralysis","no glioma observable, brain looks like it was hollow"
"163",25767,1,NA,NA,NA,NA,NA,"Mouse was paralyzed and sacked, brain looked nromal. No tumor found","large glioma on the bottom side of the center section and back section (probably right side of the brain), neurons are visible within the tumor, Ki67 is higher in some areas, but not that high and they correlate with pERK, PTEN is still expressed in most of the tumor but there are some patterns that don't look like a staining artifact"
"164",25786,1,NA,NA,NA,NA,NA,"very bloody head, brain was very soft, but still intact","no glioma observable, brain looks like it was from a dead mouse, lots of blood vessels visible"
"165",26007,1,NA,NA,NA,NA,NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","no glioma observable"
"166",26009,1,NA,NA,NA,NA,NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","no glioma observable"
"167",26010,1,NA,NA,NA,NA,NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","no glioma observable"
"168",26011,1,NA,NA,NA,NA,NA,"froze part of head tumor, trypsinized part for cell line, and FFPE it. Brain itself also FFPE. Found a tiny white mass between the tumor and brain, that sort of indented the top left of the brain and defored the skull, unsure if it was attached to the main tumor or how the skull was involved since I had to cut open the skull to retreive the brain.","no glioma observable"
"169",26012,1,NA,NA,NA,NA,NA,"partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal","small low grade glioma towards the lower side of the front section, rosette pattern, not much Ki67, pERK negative, PTEN has a weird staining artifact"
"170",26014,1,NA,NA,NA,NA,NA,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.","no glioma observable"
"171",26022,1,NA,NA,NA,NA,NA,"mouse seamed healthy, but head tumor was becoming larger than 2cm in diameter. There was a small ball of tissue in front of the brain, so not sure if it will be included in the slide, but unsure what it is.","no glioma observable"
"172",26023,1,NA,NA,NA,NA,NA,"bump on head noticed 4/23/21, sacked when it was big enough to harvest for a cell line, fix, and freeze","no glioma observable"
"173",26024,1,NA,NA,NA,NA,NA,"Massive tumor encasing head. Brain unremovable.","no glioma observable, but head tumor is there, Sheri says the head tumors look similar to melanomas"
"174",26037,1,NA,NA,NA,NA,NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","no glioma observable"
"175",26062,1,NA,NA,NA,NA,NA,"tumor on shoulder noticed 4/23/21, found dead, brain was sort of mush, tumors also noticed on shoulder and lower spinal cord.","no glioma observable, but you can tell it was found dead"
"176",26064,1,NA,NA,NA,NA,NA,"sacked when head tumor became too large, brain looked normal, part of tumor was used for creating a cell line, and frozen, both the brain and tumor were fixed","no glioma observable, tumor outside of skull looks like melanomas do according to Sheri"
"177",26065,1,NA,NA,NA,NA,NA,"small bump noticed on top of head  on 4/15, showing more paralysis on 4/26/21, upon necropsy there was a top of head tumor which was small and only peeled off the skull with a piece of skull attached and fixed -T1. Tumor around the lower spinal cord was also minimal and used only to make a cell line - T2.","no glioma observable"
"178",26066,1,NA,NA,NA,NA,NA,"bulge noticed in scrotum and mouse is more emanciated than others in cage, upon necropsy it is a hernia, no sign of tumor","Sheri noticed an area of increased cellular density in the brain H&E, Ki67+, pERK-"
"179",26067,1,NA,NA,NA,NA,NA,"mouse was bloated with lots of gas built up in digestive tract, mouse was also acting less active and hunched over, there were 4 masses around the front and sides of the neck which were harvested for histology, freezing, and cell line - possibly lymph nodes given their symetry, brain has a little nub in the front of it that looked larger than normal","no glioma observable"
"180",26068,1,NA,NA,NA,NA,NA,"mouse is paralyzed with a partially closed left eye, upon necropsy there is an enlarged cranial nerve on both sides, which was only used for a cell line (T1). There was also a tumor found on the spinal cord (T2) also just used for cell line.","no glioma observable"
"181",26069,1,NA,NA,NA,NA,NA,"6/9/21 tumor noticed at base of spinal cord, found dead after probably having full paralysis, only fixed brain","no glioma observable"
"182",26137,1,NA,NA,NA,NA,NA,"found dead, died up to 2 days ago, brain was a little mushy","small glioma on the bottom edge of the center section, there is some Ki67+, but pERK is negative, PTEN looks lower in the tumor, exclude from pERK quantification because it was found dead"
"183",26138,1,NA,NA,NA,NA,NA,"tumor noticed on head 6/1/21, sacked when tumor size approaced 2cm, mouse acted normal, upon necropsy skull appeared to be slightly ruptured with a very bloody and soft tumor growing from above the brain (used to make a cell line, and frozen), brain is very mishapen by the tumor, tumor was used for a cell line and frozen","high grade glioma at the top and center of all 3 sections, pallisading necrosis and vasculature, Ki67 has diverse regions of low and high, pERK was damaged in spots, PTEN looks low overall except for blood vessels and very distinct on and off areas within the tumor"
"184",26139,1,NA,NA,NA,NA,NA,"bloated looking due to gut full of gas, breathing heavy, enlarged masses around neck (T1) similar to 26067 (may be lymph nodes, might have missed these in previous mice) - these were fixed, frozen and used for a cell line, Also had a mushy mass under the brain (T2) which was used for a cell line","no glioma observable"
"185",26140,1,NA,NA,NA,NA,NA,"mouse appeared normal prior to necropsy, brain was being pushed from a large tumor underneith that was attached to the base of the cranial cavity, possibly from a cranial nerve (right side), a photo was taken. Tumor was very firm and white looking, It was split 3 ways for freezing, cell line, and fixing. I included the tumor along with the brain in the same parafin block.","intracrannial tumor doesn't look like it is infiltrating, Ki67+, a little p-ERK+"
"186",26141,1,NA,NA,NA,NA,NA,"mouse had a domed head, was hunched over, not grooming, and breathing heavy, there was a massive tumor under the brain and attached to the base of the cranial cavity, froze portion of tumor and used for cell line.","no glioma observable"
"187",26143,1,NA,NA,NA,NA,NA,"mouse looked very puffy, wasn't moving around too much and breathing slowly, looked sick, upon necropsy, brain was abnormally white looking, sort of stuck to one side of the skull too","low grade glioma in all sections, lots of variability in Ki67 and pERK, PTEN has clear off regions"
"188",26274,1,NA,NA,NA,NA,NA,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","no glioma observable"
"189",26276,1,NA,NA,NA,NA,NA,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","no glioma observable"
"190",26279,1,NA,NA,NA,NA,NA,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.","no glioma observable"
"191",26280,1,NA,NA,NA,NA,NA,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with","no glioma observable"
"192",26281,1,NA,NA,NA,NA,NA,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy","possible tumor present on base of front section of the brain, Sheri says tumor cells on outside of brain starting to infiltrate"
"193",26305,1,NA,NA,NA,NA,NA,"mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve","no glioma observable, but head tumor is there, Sheri says the head tumors look similar to melanomas"
"194",26306,1,NA,NA,NA,NA,NA,"starting to drag hind legs on 6/9/21, on 6/16 mouse was breathing heavy and looked scruffy, sacked in order to not find dead, enlarged cranial nerve on right side with a mass around it was used to make a cell line with","no glioma observable"
"195",26307,1,NA,NA,NA,NA,NA,"mouse was sort of small and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded","no glioma observable"
"196",26310,1,NA,NA,NA,NA,NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded","no glioma observable"
"197",26311,1,NA,NA,NA,NA,NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded","no glioma observable"
