"mouse_num","disposition","date_tumor_reported","tissue_collected","additional_comments","t","tissue_br","tissue_liver","tissue_lung","tissue_optic_n"
25694,,,"mushy mass under brain","mouse was loosing mobility in hind legs and I didn't want to chance it over the weekend. I noticed a mass of tissue under the brain, not sure if it was an enlarged cranial nerve or that ""necrotic"" tissue Zia noticed before. Growing that tissue as a cell line, but too small for fixing it or freezing it as well","Brain, mushy mass under brain",1,,,
25742,,,"cranial nerve tumor","partially paralyzed, small mass could be part of cerebellum or could be a tumor, only did FFPE with it","Brain, cranial nerve tumor",1,,,
25743,"Sacked to tumor size",,,"Massive tumor encasing head. Brain unremovable. Cryo sample collected and cell line started","Brain",1,,,
25745,,,"T1, T2","only partially paralyzed, but looked very emanciated, so had to sack, small white spot on top center of skull (T1), not sure if that is anything, but fixed it anyway. Tumor was visible around the base of the spine, cross section of the spine was fixed (with bone), and piece of tumor was made into a cell line.","Brain, T1, T2",1,,,
25747,,,,"loosing mobility in hind legs 4/12, not fully paralyzed, but looking worse, with urine stains on fur, upon necropsy - normal looking brain, no spine tumors, enlarged bladder, possibly suffering from some infection or blockage","Brain",1,,,
25766,"paralysis","44225",,"Brain was completely hollow and filled with liquid. Mouse sacked due to paralysis","Brain",1,,,
25767,"paralyzed",,,"Brain looked normal","Brain",1,,,
26007,,,"spinal cord tumor","nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","Brain, spinal cord tumor",1,,,
26008,,,,"R eye partially closed, and starting to loose mobility in hind legs, no sign of tumor upon necropsy","Brain",1,,,
25092,,,,,"Brain",1,,,
26009,,"44270","and head tumor","Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from.","Brain and head tumor",1,,,
26010,,,"spinal cord tumor","nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","Brain, spinal cord tumor",1,,,
26013,,,,"showing partial paralysis on 4/12, decided to sack next day to avoid risk of finding dead, little nub in front of brain, not sure if anything though, normal looking everywhere else including spine.","Brain",1,,,
26014,,,"T1","severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.","Brain, T1",1,,,
26022,,"44270","and head tumor","Head tumor did not appear to grow out from eye or ear, was separate from the skin, attached to the skull, no vasculature except on the periphery. Attached to the brain, but not by much is a small ball right at the front of it. That ball was preserved as well, but may or may not make it into the slides. Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from.","Brain and head tumor",1,,,
26023,,,"head tumor","bump on head noticed 4/23/21, sacked when it was big enough to harvest for a cell line, fix, and freeze","Brain, head tumor",1,,,
26024,"Sacked for tumor size","44249",,"Massive tumor encasing head. Brain unremovable.","Brain",1,,,
26037,,"44273","and head tumor","Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from.","Brain and head tumor",1,,,
26038,,,"T1","tiny mass on top of skull, could see some tissue is on opposite side (inside) of skull as well, fixed entire piece of skull with that possible beginning of a tumor, will need to decalify if submitting to histology","Brain, T1",1,,,
26039,,,,"losing mobility in hind legs, fully paralyzed when it was sacked","Brain",1,,,
