tumor_bool,tumor_qual,mouse_num,initials,nec_date,disposition,sex,strain,sac_date,injection_date,virus,date_tumor_reported,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,comments,rcas_injection,injection_route,dob,t,tissue_br,tissue_optic_n,tissue_lung,tissue_liver,date_tumor_reported2
NA,"Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well",23786,ZL,7/27/2020,Completely paralyzed,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,7/27/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,44032Slight domed head noticed
3,Small necrotic tumor underneath brain surrounding left cranial nerves,23787,ZL,8/4/2020,Completely paralyzed,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/4/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/30/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,NA
NA,brain looked normal,23789,ZL,8/13/2020,Paralyzed,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/13/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/27/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,NA
1,"Large tumor growing on skull, brain appeared normaln if slightly smaller.",23790,ZL,8/13/2020,domed head + difficulty breathing,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/13/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/27/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,NA
1,"tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain",23791,ZL,7/31/2020,"domed head, weak/paralyzed body, difficulty breathing",F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/27/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,NA
3,small cranial nerve tumor,23792,ZL,8/13/2020,difficulty breathing,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/13/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,8/5/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,NA
NA,Evrything appeared normal,23821,ZL,8/21/2020,TVA- Sacked as a control,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/21/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/28/2020,Brain,1,NA,NA,NA,NA
3,"slight domed head with liquid, small necrotic tumor on cranial nerve.",23822,ZL,8/7/2020,Completely paralyzed,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/11/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/27/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/28/2020,Brain,1,NA,NA,NA,NA
1,"Very large brain which accounted for domed head, large tumor underneath brain surrounding left frontal cranial nerve.",23823,ZL,7/21/2020,slight domed head and complete paralysis.,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,7/21/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/21/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23823-BR,1,Yes,NA,NA_NA,Yes,intracranial,5/28/2020,Brain,1,NA,NA,NA,NA
3,"brain looks normal, head tumor is not attached to skin or brain",23824,RH,7/16/2020,Large tumor on front right of head,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,7/16/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/8/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,"head tumor, spinal cord (not intact)",NA,Yes,HCI -20-23824-BR,1,Yes,NA,"HCI-20-23824-SpCo,HCI-20-23824-HeTu_NA",Yes,intracranial,5/28/2020,"Brain, head tumor, spinal cord (not intact)",1,NA,NA,NA,NA
1,Tumor surrounding left posterior cranial nerve,23826,ZL,7/31/2020,"weak/paralyzed body, difficulty breathing",F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/23/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/28/2020,Brain,1,NA,NA,NA,NA
1,Mouse had a large tumor growing off side of body. Appeared to have originated from boony rib tissue?,23828,ZL,8/21/2020,"Paralyzed, slightly lopsided face",M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/21/2020,5/29/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/23/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/28/2020,Brain,1,NA,NA,NA,NA
NA,brain looked normal,23864,ZL,8/17/2020,Healthy sacked for TVA status,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/17/2020,6/1/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes as a control,NA,NA_NA,Yes,intracranial,5/30/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23865,ZL,9/29/2020,Experimental end date (Mistake in Cages tab about 30 days too early).,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/29/2020,6/1/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/30/2020,Brain,1,NA,NA,NA,NA
3,Medium sized necrotic tumor underneath brain surrounding cranial nerves and brain.,23866,ZL,8/7/2020,Weak and sickly with domed head,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/7/2020,6/1/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/27/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/30/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23964,ZL,9/2/2020,Completely paralyzed,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/2/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,9/1/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23965,ZL,9/15/2020,Paralyzed with small tumor on back end of body,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/15/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Tumor on surrounding spine at base of tail observed. Tissue frozen and fixed,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,BrainTumor on surrounding spine at base of tail observed. Tissue frozen and fixed,1,NA,NA,NA,44088Weakness in legs noticed
1,"Large tumor growing underneath brain, and small growth under skin on shoulder.",23966,ZL,10/30/2020,Mouse was very sickly barely moving,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,10/2/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,9/15/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,tumor underneath brain as well as shoulder tumor.  tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,"Brain, tumor underneath brain as well as shoulder tumor. Brain tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well",1,NA,NA,NA,NA
NA,Necrotic tussie underneath brain,23967,ZL,9/15/2020,Sickly with tumor growing on head and large tumor groeing on hips/base of spine,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/15/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,8/7/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,"head tumor, spine tumorVery large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain",NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,"Brain, head tumor, spine tumorVery large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain",1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23968,ZL,8/26/2020,Mouse was fully paralyzed,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/8/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,9/2/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23969,ZL,9/2/2020,Completely paralyzed,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/2/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,9/1/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,Brain,1,NA,NA,NA,NA
1,Very large tumor growing over the skull but brain looked normal,23970,ZL,8/24/2020,Tumor on head was very large and mouse was sickly,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/24/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/28/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23971,ZL,9/2/2020,Completely paralyzed,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/2/2020,6/18/2020,RCAS Cre-U6sgRNA-ex2-NF1,9/1/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,6/15/2020,Brain,1,NA,NA,NA,NA
0,NA,24801,ZL,3/5/2021,End of experiment,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,3/3/2021,9/22/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,full brain,HCI-21-24805,NA,yes,No,No evidence of tumor_NA,NA,NA,9/11/2020,Brain,1,NA,NA,NA,NA
0,NA,24802,ZL,3/5/2021,End of experiment,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,3/3/2021,9/22/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,full brain,HCI-21-24805,NA,yes,No,No evidence of tumor_NA,NA,NA,9/11/2020,Brain,1,NA,NA,NA,NA
0,NA,24803,ZL,3/5/2021,End of experiment,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,3/3/2021,9/22/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,full brain,HCI-21-24805,NA,yes,No,No evidence of tumor_NA,NA,NA,9/11/2020,Brain,1,NA,NA,NA,NA
0,NA,24805,ZL,3/5/2021,End of experiment,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,3/3/2021,9/22/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,full brain,HCI-21-24805,NA,yes,No,No evidence of tumor_NA,NA,NA,9/11/2020,Brain,1,NA,NA,NA,NA
0,NA,24807,ZL,3/5/2021,End of experiment,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,3/3/2021,9/22/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,full brain,HCI-21-24807,NA,yes,No,No evidence of tumor_NA,NA,NA,9/11/2020,Brain,1,NA,NA,NA,NA
1,NA,24988,ZL,2/16/2021,"Sick, breathing weird, very large distended stomach.",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2/16/2021,10/12/2020,RCAS Cre-U6sgRNA-ex2-NF1,2/16/2021,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,"Yes, necrotic tmuor stuck to bottom of brain and cavity, scooped all up and formalin fixed",HCI-20-24988,NA,yes,No,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.,Very disteneded stomach was due to all digestive organs being maximally filled with gas including stomach._NA",NA,NA,10/11/2020,Brain,1,NA,NA,NA,NA
1,NA,25025,RH,1/27/2021,"lethargic, domed head, hunched back",F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,1/27/2021,10/14/2020,RCAS Cre-U6sgRNA-ex2-NF1,1/21/2021,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,spinal cord/brain stem,No,full brain,HCI-20-25025,NA,yes,No,"brain looked hollow, fixed the entire brain just incase it was a rare brain tumor. Brainstem/spinal chord looked enlarged. Not a big enough tumor to justify fixing and freezing a portion, so I just trypsinized it for a cell line._NA",NA,NA,10/13/2020,"Brain, spinal cord/brain stem",1,NA,NA,NA,NA
0,NA,25028,ZL,2/1/2021,Paralyzed,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2/1/2021,10/14/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,full brain,HCI-20-25028,NA,yes,No,"Brain looked normal, no tumor noted anywhere on body/spinal cord._NA",NA,NA,10/13/2020,Brain,1,NA,NA,NA,1/29/2021 (paralysis)
0,NA,25087,RH,3/19/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,3/19/2021,10/20/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,Brain,NA,NA,NA,NA,NA_NA,NA,NA,10/20/2020,Brain,1,NA,NA,NA,NA
0,NA,25088,RH,3/19/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,3/19/2021,10/20/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,Brain,NA,NA,NA,NA,NA_NA,NA,NA,10/20/2020,Brain,1,NA,NA,NA,NA
0,NA,25089,RH,3/19/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,3/19/2021,10/20/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,Brain,NA,NA,NA,NA,NA_NA,NA,NA,10/20/2020,Brain,1,NA,NA,NA,NA
0,NA,25090,RH,3/19/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,3/19/2021,10/20/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,Brain,NA,NA,NA,NA,NA_NA,NA,NA,10/20/2020,Brain,1,NA,NA,NA,NA
0,NA,25091,RH,3/19/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,3/19/2021,10/20/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,Brain,NA,NA,NA,NA,NA_NA,NA,NA,10/20/2020,Brain,1,NA,NA,NA,NA
0,NA,25092,RH,3/19/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,3/19/2021,10/20/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,Brain,NA,NA,NA,NA,NA_NA,NA,NA,10/20/2020,Brain,1,NA,NA,NA,NA
0,NA,25214,RH,4/5/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/5/2020,Brain,1,NA,NA,NA,NA
0,NA,25215,RH,4/5/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/5/2020,Brain,1,NA,NA,NA,NA
0,NA,25216,RH,4/5/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/5/2020,Brain,1,NA,NA,NA,NA
0,NA,25218,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/5/2020,Brain,1,NA,NA,NA,NA
0,NA,25220,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/5/2020,Brain,1,NA,NA,NA,NA
0,NA,25221,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/5/2020,Brain,1,NA,NA,NA,NA
1,NA,25238,ZL,3/3/2021,Large head tumor,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,3/3/2021,11/6/2020,RCAS Cre-U6sgRNA-ex2-NF1,2/3/2021,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,full brain,HCI-21-25238,NA,yes,No,"Large tumor growing on head, cell line started and tissue frozen as well as formalin fixed. Slides would be good NF1 tumor control._NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25239,RH,4/5/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25240,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25241,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25242,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25258,RH,4/5/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25259,RH,4/5/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25260,ZL,2/1/2021,"swollen head, very sick (skinny and hunched over)",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2/1/2021,11/8/2020,RCAS Cre-U6sgRNA-ex2-NF1,1/20/2021,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,NA,No,full brain,HCI-20-25260,NA,yes,No,Brain was completely hollow and extremely swollen full of clear liquid and blood. Harvested all in one piece. No sign of tumor._NA,NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25261,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25262,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/6/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25263,RH,4/5/2021,NA,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/9/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
0,NA,25264,RH,4/5/2021,NA,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,4/5/2021,11/9/2020,RCAS Cre,NA,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRXf/f,NA,No,Brain,NA,NA,NA,NA,"end of experiment, looked normal_NA",NA,NA,11/6/2020,Brain,1,NA,NA,NA,NA
