mouse_num,initials,todays_date,disposition,sex,strain,sac_date,age_at_sac,virus_1,evidence_of_tumor,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,additonal_comments,rcas_injection,injection_route,age_at_tumor_onset,dob,injection_date1,injection_date2,tumor_date
23787,ZL,2020-08-04,Completely paralyzed,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-08-04,73,RCAS Cre-U6sgRNA-ex2-NF1,Small necrotic tumor underneath brain surrounding left cranial nerves,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,68,2020-05-23,2020-05-24,NA,2020-07-30
23791,ZL,2020-07-31,"domed head, weak/paralyzed body, difficulty breathing",F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-07-31,69,RCAS Cre-U6sgRNA-ex2-NF1,"tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain",No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,65,2020-05-23,2020-05-24,NA,2020-07-27
23792,ZL,2020-08-13,difficulty breathing,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-08-13,82,RCAS Cre-U6sgRNA-ex2-NF1,small cranial nerve tumor,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,74,2020-05-23,2020-05-24,NA,2020-08-05
25690,RH,2021-04-13,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-13,115,RCAS Cre U6 sgRNA Ex2 NF1,yes,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,Brain,No,Brain,NA,NA,NA,NA,"mouse is showing signs of partial paralysis on 4/7. Head is tilted to one side, but still able to move around. Could have gone longer, but no sense risking mouse dying on own. Necropsy showed bulge in left top of skull, under the left side of brain looked to be a glioma, attached a little to the base of the cranial cavity and partially attached to the brain, sort of mushy, cut some off to freeze and make cell line from as well as fixed the rest with the brain",NA,NA,NA,2020-12-19,2020-12-22,NA,
23821,ZL,2020-08-21,TVA- Sacked as a control,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-08-21,85,RCAS Cre-U6sgRNA-ex2-NF1,Evrything appeared normal,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,NA,2020-05-28,2020-05-29,NA,
23823,ZL,2020-07-21,slight domed head and complete paralysis.,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-07-21,54,RCAS Cre-U6sgRNA-ex2-NF1,"Very large brain which accounted for domed head, large tumor underneath brain surrounding left frontal cranial nerve.",No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23823-BR,1,Yes,NA,,Yes,intracranial,NA,2020-05-28,2020-05-29,NA,2020-07-21
23826,ZL,2020-07-31,"weak/paralyzed body, difficulty breathing",F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-07-31,64,RCAS Cre-U6sgRNA-ex2-NF1,Tumor surrounding left posterior cranial nerve,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,56,2020-05-28,2020-05-29,NA,2020-07-23
23866,ZL,2020-08-07,Weak and sickly with domed head,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-08-07,69,RCAS Cre-U6sgRNA-ex2-NF1,Medium sized necrotic tumor underneath brain surrounding cranial nerves and brain.,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,58,2020-05-30,2020-06-01,NA,2020-07-27
23966,ZL,2020-10-30,Mouse was very sickly barely moving,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-10-02,109,RCAS Cre-U6sgRNA-ex2-NF1,"Large tumor growing underneath brain, and small growth under skin on shoulder.",No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,"Brain, tumor underneath brain as well as shoulder tumor. Brain tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well",NA,Yes,NA,1,Yes,NA,,Yes,intracranial,92,2020-06-15,2020-06-18,NA,2020-09-15
23967,ZL,2020-09-15,Sickly with tumor growing on head and large tumor groeing on hips/base of spine,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-09-15,92,RCAS Cre-U6sgRNA-ex2-NF1,Necrotic tussie underneath brain,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,"Brain, head tumor, spine tumor Very large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain",NA,Yes,NA,1,Yes,NA,,Yes,intracranial,53,2020-06-15,2020-06-18,NA,2020-08-07
25692,RH,2021-04-12,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-12,114,RCAS Cre U6-sgRNA-Ex2 NF1,no,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, T1, T2",No,"Brain, T1, T2",NA,NA,NA,NA,"passed Friday health check, but found dead on Mon. After necropsy, a tumor was visable around right ear (T1) connected to the skull and separate from the skin. A second tumor is seen lower on the neck (T2) it is smaller. Tumors were fixed, brain was fixed too but mushy since this mouse was found dead.",NA,NA,NA,2020-12-19,2020-12-22,NA,
25694,RH,2021-04-09,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-09,111,RCAS Cre U6-sgRNA NF1 Ex2,no,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, mushy mass under brain",No,"Brain, mushy mass under brain",NA,NA,NA,NA,"mouse was loosing mobility in hind legs and I didn't want to chance it over the weekend. I noticed a mass of tissue under the brain, not sure if it was an enlarged cranial nerve or that ""necrotic"" tissue Zia noticed before. Growing that tissue as a cell line, but too small for fixing it or freezing it as well",NA,NA,NA,2020-12-19,2020-12-22,NA,
25767,ZL,2021-03-17,paralyzed,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-03-17,79,RCAS Cre-U6sgRNA-ex2-NF1,No,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain,No,full brain,HCI-21-25767,NA,yes,No,Brain looked normal,NA,NA,NA,2020-12-28,2021-12-28,NA,
